Data Format: 
  dateTimeDelimiter: " "
  decimalSeparator: "."
  dataDelimiter: ","
  dateFormat: M/d/yy
  timeFormat: HH:mm:ss
  gmtOffset: "-8"
  daylightSavings: false

Logger Info: 
  - &1
    launchDescription: "Tobias Experiment 1"
    model: U30
    vendor: Onset Computer Corporation
    serialNumber: 10459715
    memorySize: 0
    firmwareVersion: 2.006
    firmwareVersionRaw: 0
    deploymentNumber: 4697
Series Info: 
  - name: "Watts"
    type: value
    unitName: "W"
    OMClassName: OMeasurementH21
    OMPartNumber: S-FS-TRMSA
    OMUnitIndex: 0
    OMChannelType: 12
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Watts"
    type: value
    unitName: "W"
    OMClassName: OMeasurementH21
    OMPartNumber: S-FS-TRMSA
    OMUnitIndex: 0
    OMChannelType: 12
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Watts"
    type: value
    unitName: "W"
    OMClassName: OMeasurementH21
    OMPartNumber: S-FS-TRMSA
    OMUnitIndex: 0
    OMChannelType: 12
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Watts"
    type: value
    unitName: "W"
    OMClassName: OMeasurementH21
    OMPartNumber: S-FS-TRMSA
    OMUnitIndex: 0
    OMChannelType: 12
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Watts"
    type: value
    unitName: "W"
    OMClassName: OMeasurementH21
    OMPartNumber: S-FS-TRMSA
    OMUnitIndex: 0
    OMChannelType: 12
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Watts"
    type: value
    unitName: "W"
    OMClassName: OMeasurementH21
    OMPartNumber: S-FS-TRMSA
    OMUnitIndex: 0
    OMChannelType: 12
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Watts"
    type: value
    unitName: "W"
    OMClassName: OMeasurementH21
    OMPartNumber: S-FS-TRMSA
    OMUnitIndex: 0
    OMChannelType: 12
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Watts"
    type: value
    unitName: "W"
    OMClassName: OMeasurementH21
    OMPartNumber: S-FS-TRMSA
    OMUnitIndex: 0
    OMChannelType: 12
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Watts"
    type: value
    unitName: "W"
    OMClassName: OMeasurementH21
    OMPartNumber: S-FS-TRMSA
    OMUnitIndex: 0
    OMChannelType: 12
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "Watts"
    type: value
    unitName: "W"
    OMClassName: OMeasurementH21
    OMPartNumber: S-FS-TRMSA
    OMUnitIndex: 0
    OMChannelType: 12
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Watts"
    type: value
    unitName: "W"
    OMClassName: OMeasurementH21
    OMPartNumber: S-FS-TRMSA
    OMUnitIndex: 0
    OMChannelType: 12
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Watts"
    type: value
    unitName: "W"
    OMClassName: OMeasurementH21
    OMPartNumber: S-FS-TRMSA
    OMUnitIndex: 0
    OMChannelType: 12
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Watts"
    type: value
    unitName: "W"
    OMClassName: OMeasurementH21
    OMPartNumber: S-FS-TRMSA
    OMUnitIndex: 0
    OMChannelType: 12
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Watts"
    type: value
    unitName: "A"
    OMClassName: OMeasurementH21
    OMPartNumber: S-FS-TRMSA
    OMUnitIndex: 0
    OMChannelType: 12
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Batt"
    type: value
    unitName: ""
    OMClassName: OMVoltage_PipeBattery
    OMPartNumber: U30 Battery
    OMUnitIndex: 0
    OMChannelType: 5
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
------------
"#","Time, Pacific Daylight Time","Watts, W","Watts, W","Watts, W","Watts, W","Watts, W","Watts, W","Watts, W","Watts, W","Watts, W","Watts, W","Watts, W","Watts, W","Watts, W","Watts, A","Batt, V"
1,12/1/15 20:05:00,0.0,109.8,0.0,0.0,0.0,0.0,1830.0,0.0,0,136.8,0.0,0.0,348.0,115.7,4.55
2,12/1/15 20:10:00,0.0,122.8,0.0,0.0,0.0,0.0,1838.5,0.0,0,137.7,0.0,0.0,338.4,113.5,4.56
3,12/1/15 20:15:00,0.0,122.2,0.0,0.0,0.0,0.0,1840.1,0.0,0,137.7,337.3,0.0,433.6,113.2,4.56
4,12/1/15 20:20:00,0.0,112.6,0.0,0.0,0.0,0.0,1839.6,0.0,0,138.0,127.8,0.0,359.5,115.4,4.56
5,12/1/15 20:25:00,0.0,109.8,0.0,0.0,0.0,0.0,1840.1,0.0,0,136.3,0.0,0.0,278.4,114.0,4.56
6,12/1/15 20:30:00,0.0,113.5,0.0,0.0,0.0,0.0,1838.7,0.0,0,136.8,0.0,0.0,306.0,115.4,4.56
7,12/1/15 20:35:00,0.0,121.3,0.0,0.0,0.0,0.0,1507.1,0.0,0,139.4,0.0,0.0,278.7,116.0,4.56
8,12/1/15 20:40:00,0.0,110.6,0.0,0.0,0.0,0.0,1841.8,0.0,0,135.7,129.8,0.0,280.7,114.3,4.56
9,12/1/15 20:45:00,0.0,119.1,0.0,0.0,0.0,0.0,1843.2,0.0,0,136.3,130.6,0.0,284.1,116.6,4.59
10,12/1/15 20:50:00,0.0,112.9,0.0,0.0,0.0,0.0,1839.3,0.0,0,136.8,0.0,0.0,415.6,116.3,4.60
11,12/1/15 20:55:00,0.0,119.9,0.0,0.0,0.0,0.0,1841.6,0.0,0,136.3,0.0,0.0,418.1,119.1,4.56
12,12/1/15 21:00:00,0.0,98.0,0.0,0.0,0.0,0.0,1838.7,0.0,0,136.3,0.0,0.0,542.0,114.3,4.54
13,12/1/15 21:05:00,0.0,118.0,0.0,0.0,0.0,0.0,1837.9,0.0,0,138.0,136.8,0.0,495.8,113.5,4.55
14,12/1/15 21:10:00,0.0,113.5,0.0,0.0,0.0,0.0,1512.7,0.0,0,136.0,134.3,0.0,354.7,113.2,4.56
15,12/1/15 21:15:00,0.0,111.2,0.0,0.0,0.0,0.0,1507.4,0.0,0,136.3,0.0,0.0,350.8,114.3,4.56
16,12/1/15 21:20:00,0.0,129.2,0.0,0.0,0.0,0.0,1513.6,0.0,0,137.7,0.0,0.0,347.1,115.1,4.56
17,12/1/15 21:25:00,0.0,112.3,0.0,0.0,0.0,0.0,1822.4,0.0,0,135.4,0.0,0.0,351.1,115.4,4.56
18,12/1/15 21:30:00,0.0,112.1,0.0,0.0,0.0,0.0,1846.6,0.0,0,134.6,136.5,0.0,346.6,116.6,4.56
19,12/1/15 21:35:00,0.0,114.3,0.0,0.0,0.0,0.0,1848.3,0.0,0,134.6,134.9,0.0,282.1,114.3,4.56
20,12/1/15 21:40:00,0.0,111.8,0.0,0.0,0.0,0.0,1516.4,0.0,0,134.0,0.0,0.0,290.5,118.2,4.56
21,12/1/15 21:45:00,0.0,109.8,0.0,0.0,0.0,0.0,1519.2,0.0,0,134.3,0.0,0.0,303.2,114.9,4.56
22,12/1/15 21:50:00,0.0,109.8,0.0,0.0,0.0,0.0,1966.6,0.0,0,134.9,0.0,0.0,381.8,120.5,4.56
23,12/1/15 21:55:00,0.0,110.4,0.0,0.0,0.0,0.0,1977.8,0.0,0,136.0,130.6,0.0,367.1,114.6,4.57
24,12/1/15 22:00:00,0.0,110.4,0.0,0.0,0.0,0.0,1979.5,0.0,0,134.0,134.3,0.0,284.1,127.0,4.54
25,12/1/15 22:05:00,0.0,117.7,0.0,0.0,0.0,0.0,1982.3,0.0,0,134.6,130.1,0.0,283.5,114.6,4.55
26,12/1/15 22:10:00,0.0,116.8,0.0,0.0,0.0,0.0,1981.2,0.0,0,134.6,0.0,0.0,283.5,115.7,4.56
27,12/1/15 22:15:00,0.0,110.4,0.0,0.0,0.0,0.0,1539.7,0.0,0,134.3,0.0,0.0,279.6,114.6,4.56
28,12/1/15 22:20:00,0.0,119.7,0.0,0.0,0.0,0.0,1002.0,0.0,0,134.6,318.1,0.0,290.8,117.1,4.56
29,12/1/15 22:25:00,0.0,111.8,0.0,0.0,0.0,0.0,998.3,0.0,0,134.0,316.5,0.0,285.5,114.0,4.56
30,12/1/15 22:30:00,0.0,109.8,0.0,0.0,0.0,0.0,998.1,0.0,0,135.4,764.1,0.0,281.3,115.1,4.56
31,12/1/15 22:35:00,0.0,113.2,0.0,0.0,0.0,0.0,999.5,0.0,0,134.0,209.2,0.0,278.2,118.0,4.56
32,12/1/15 22:40:00,0.0,134.6,0.0,0.0,0.0,0.0,995.0,0.0,0,133.2,209.7,0.0,362.3,113.7,4.56
33,12/1/15 22:45:00,0.0,110.4,0.0,0.0,0.0,0.0,996.1,0.0,0,134.3,329.4,0.0,363.5,114.3,4.56
34,12/1/15 22:50:00,0.0,0.0,0.0,0.0,0.0,0.0,996.4,0.0,0,134.0,131.8,0.0,283.8,114.0,4.56
35,12/1/15 22:55:00,0.0,0.0,0.0,0.0,0.0,0.0,995.2,0.0,0,134.3,207.8,0.0,290.3,115.4,4.56
36,12/1/15 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,996.1,0.0,0,134.9,0.0,0.0,304.3,115.7,4.54
37,12/1/15 23:05:00,0.0,0.0,0.0,0.0,0.0,0.0,683.6,0.0,0,137.4,0.0,0.0,283.8,115.4,4.55
38,12/1/15 23:10:00,0.0,0.0,0.0,0.0,0.0,0.0,684.7,0.0,0,134.6,143.6,0.0,270.6,113.7,4.56
39,12/1/15 23:15:00,0.0,93.8,0.0,0.0,0.0,0.0,684.1,0.0,0,137.4,332.5,0.0,280.4,115.4,4.56
40,12/1/15 23:20:00,0.0,94.6,0.0,0.0,0.0,0.0,686.7,0.0,0,139.6,0.0,0.0,281.0,115.1,4.56
41,12/1/15 23:25:00,0.0,94.3,0.0,0.0,0.0,0.0,685.6,0.0,0,139.1,0.0,0.0,281.5,126.1,4.56
42,12/1/15 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,688.9,0.0,0,139.1,0.0,0.0,373.0,116.0,4.56
43,12/1/15 23:35:00,0.0,93.2,0.0,0.0,0.0,0.0,685.0,0.0,0,138.2,153.4,0.0,390.8,114.3,4.59
44,12/1/15 23:40:00,0.0,92.6,0.0,0.0,0.0,0.0,685.0,0.0,0,138.2,614.9,0.0,285.5,114.0,4.56
45,12/1/15 23:45:00,0.0,0.0,0.0,0.0,0.0,0.0,684.4,0.0,0,144.1,0.0,0.0,282.4,113.5,4.56
46,12/1/15 23:50:00,0.0,0.0,0.0,0.0,0.0,0.0,685.0,0.0,0,136.8,0.0,0.0,280.7,114.6,4.56
47,12/1/15 23:55:00,0.0,0.0,0.0,0.0,0.0,0.0,683.9,0.0,0,138.2,0.0,0.0,283.8,113.2,4.57
48,12/2/15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,684.7,0.0,0,134.3,0.0,0.0,291.4,119.1,4.54
49,12/2/15 00:05:00,0.0,0.0,0.0,0.0,0.0,0.0,684.4,0.0,0,137.1,129.5,0.0,278.4,115.7,4.55
50,12/2/15 00:10:00,0.0,94.3,0.0,0.0,0.0,0.0,684.7,0.0,0,136.0,131.5,0.0,290.5,118.2,4.56
51,12/2/15 00:15:00,0.0,0.0,0.0,0.0,0.0,0.0,685.3,0.0,0,136.8,491.6,0.0,280.7,115.7,4.56
52,12/2/15 00:20:00,0.0,0.0,0.0,0.0,0.0,0.0,684.4,0.0,0,135.7,0.0,0.0,378.4,115.1,4.56
53,12/2/15 00:25:00,0.0,0.0,0.0,0.0,0.0,0.0,693.2,0.0,0,138.5,0.0,0.0,380.9,117.1,4.56
54,12/2/15 00:30:00,0.0,90.4,0.0,0.0,0.0,0.0,688.6,0.0,0,136.8,131.2,0.0,292.2,115.1,4.56
55,12/2/15 00:35:00,0.0,0.0,0.0,0.0,0.0,0.0,689.2,0.0,0,135.7,130.9,0.0,282.7,115.1,4.56
56,12/2/15 00:40:00,0.0,0.0,0.0,0.0,0.0,0.0,994.4,0.0,0,134.9,0.0,0.0,1294.8,115.1,4.56
57,12/2/15 00:45:00,0.0,0.0,0.0,0.0,0.0,0.0,1455.3,0.0,0,134.3,0.0,0.0,1303.0,114.3,4.56
58,12/2/15 00:50:00,0.0,92.9,0.0,0.0,0.0,0.0,1495.5,0.0,0,134.3,0.0,0.0,1321.0,113.2,4.56
59,12/2/15 00:55:00,0.0,0.0,0.0,0.0,0.0,0.0,1611.8,0.0,0,136.8,132.9,0.0,295.3,116.3,4.59
60,12/2/15 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,2044.0,0.0,0,135.1,134.0,0.0,296.7,117.1,4.54
61,12/2/15 01:05:00,0.0,0.0,0.0,0.0,0.0,0.0,2080.6,0.0,0,135.1,0.0,0.0,289.1,115.7,4.56
62,12/2/15 01:10:00,0.0,0.0,0.0,0.0,0.0,0.0,2070.7,0.0,0,134.3,0.0,0.0,284.4,115.1,4.56
63,12/2/15 01:15:00,0.0,94.0,0.0,0.0,0.0,0.0,2001.8,0.0,0,134.0,0.0,0.0,371.9,120.2,4.56
64,12/2/15 01:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1130.1,0.0,0,134.6,129.2,0.0,360.7,116.3,4.56
65,12/2/15 01:25:00,0.0,93.8,0.0,0.0,0.0,0.0,691.7,0.0,0,134.6,135.1,0.0,298.7,114.3,4.56
66,12/2/15 01:30:00,0.0,94.3,0.0,0.0,0.0,0.0,687.8,0.0,0,135.4,487.9,0.0,285.5,114.3,4.56
67,12/2/15 01:35:00,0.0,0.0,0.0,0.0,0.0,0.0,687.8,0.0,0,134.0,0.0,0.0,282.4,114.0,4.56
68,12/2/15 01:40:00,0.0,92.1,0.0,0.0,0.0,0.0,688.1,0.0,0,134.0,0.0,0.0,280.4,114.3,4.56
69,12/2/15 01:45:00,0.0,91.2,0.0,0.0,0.0,0.0,686.7,0.0,0,134.6,136.5,0.0,284.1,113.2,4.56
70,12/2/15 01:50:00,0.0,93.5,0.0,0.0,0.0,0.0,688.9,0.0,0,134.9,134.0,0.0,287.7,116.3,4.56
