1,4020d0
< #,PacificDateTime,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,channel9,channel10,channel11,channel12,channel13,channel14,channel15
< 1,3/31/16 19:25:00,0.0,49.3,0.0,0.0,0.0,0.0,2479.8,0.0,280,424.3,0.0,0.0,321.8,0.0,4.54
< 2,3/31/16 19:30:00,0.0,48.1,0.0,0.0,58.8,0.0,2482.6,0.0,0,424.6,293.6,0.0,373.9,0.0,4.54
< 3,3/31/16 19:35:00,0.0,81.1,0.0,0.0,0.0,0.0,2488.8,0.0,0,425.1,195.7,0.0,389.9,0.0,4.54
< 4,3/31/16 19:40:00,0.0,99.4,0.0,0.0,0.0,0.0,2491.6,0.0,0,425.1,87.6,0.0,373.3,0.0,4.54
< 5,3/31/16 19:45:00,0.0,67.0,0.0,0.0,0.0,0.0,2493.0,0.0,0,419.2,20.6,0.0,319.3,0.0,4.54
< 6,3/31/16 19:50:00,0.0,67.9,0.0,0.0,0.0,0.0,2460.7,0.0,0,414.4,31.3,0.0,320.1,0.0,4.54
< 7,3/31/16 19:55:00,0.0,56.9,0.0,0.0,0.0,0.0,2359.3,0.0,0,413.6,124.2,0.0,317.9,0.0,4.54
< 8,3/31/16 20:00:00,0.0,26.7,0.0,0.0,0.0,0.0,2110.7,0.0,0,413.3,195.7,0.0,314.8,0.0,4.54
< 9,3/31/16 20:05:00,0.0,66.7,0.0,0.0,0.0,0.0,2030.7,0.0,0,407.7,52.6,0.0,333.6,0.0,4.54
< 10,3/31/16 20:10:00,0.0,49.6,0.0,0.0,0.0,0.0,2038.1,0.0,0,407.4,174.3,0.0,324.9,0.0,4.54
< 11,3/31/16 20:15:00,0.0,32.7,0.0,0.0,0.0,0.0,2046.0,0.0,0,406.0,22.2,0.0,315.3,0.0,4.54
< 12,3/31/16 20:20:00,0.0,61.4,0.0,0.0,0.0,0.0,2037.5,0.0,0,408.0,193.4,0.0,345.2,0.0,4.54
< 13,3/31/16 20:25:00,0.0,67.6,0.0,0.0,0.0,0.0,1928.8,0.0,0,386.3,167.8,0.0,397.5,0.0,4.54
